MarcaTiempo,TiempoRespuesta,TipoSolicitud,CodigoHTTP,MensajeRespuesta,CasoPrueba,TipoContenido,Exito,Bytes,Hilos,Muestras,Latencia
1733108981111,207,HTTP Request,200,OK,Caso4 1-28,text,true,507,51,51,207
1733108981108,488,HTTP Request,200,OK,Caso4 1-21,text,true,507,73,73,488
1733108981107,611,HTTP Request,200,OK,Caso4 1-16,text,true,507,80,80,611
1733108981110,616,HTTP Request,200,OK,Caso4 1-14,text,true,507,80,80,616
1733108981108,625,HTTP Request,200,OK,Caso4 1-22,text,true,521,79,79,625
1733108981110,806,HTTP Request,200,OK,Caso4 1-13,text,true,507,92,92,806
1733108981110,828,HTTP Request,200,OK,Caso4 1-2,text,true,507,92,92,828
1733108981105,833,HTTP Request,200,OK,Caso4 1-35,text,true,549,91,91,833
1733108981111,831,HTTP Request,200,OK,Caso4 1-34,text,true,521,90,90,831
1733108981110,896,HTTP Request,200,OK,Caso4 1-25,text,true,521,95,95,896
1733108981111,923,HTTP Request,200,OK,Caso4 1-1,text,true,521,96,96,923
1733108981116,1041,HTTP Request,200,OK,Caso4 1-36,text,true,507,104,104,1041
1733108981111,1046,HTTP Request,200,OK,Caso4 1-29,text,true,521,104,104,1046
1733108981233,936,HTTP Request,200,OK,Caso4 1-45,text,true,521,103,103,936
1733108981110,1061,HTTP Request,200,OK,Caso4 1-32,text,true,535,102,102,1061
1733108981110,1063,HTTP Request,200,OK,Caso4 1-9,text,true,549,101,101,1063
1733108981110,1066,HTTP Request,200,OK,Caso4 1-8,text,true,549,101,101,1066
1733108981111,1067,HTTP Request,200,OK,Caso4 1-5,text,true,507,100,100,1067
1733108981105,1195,HTTP Request,200,OK,Caso4 1-15,text,true,507,108,108,1195
1733108981110,1191,HTTP Request,200,OK,Caso4 1-23,text,true,549,107,107,1191
1733108981283,1026,HTTP Request,200,OK,Caso4 1-49,text,true,507,107,107,1026
1733108981111,1199,HTTP Request,200,OK,Caso4 1-11,text,true,521,106,106,1199
1733108981129,1182,HTTP Request,200,OK,Caso4 1-37,text,true,521,105,105,1182
1733108981111,1201,HTTP Request,200,OK,Caso4 1-26,text,true,549,104,104,1201
1733108981174,1138,HTTP Request,200,OK,Caso4 1-40,text,true,521,103,103,1138
1733108981108,1205,HTTP Request,200,OK,Caso4 1-19,text,true,521,103,103,1205
1733108981110,1204,HTTP Request,200,OK,Caso4 1-24,text,true,507,101,101,1204
1733108981111,1205,HTTP Request,200,OK,Caso4 1-30,text,true,549,100,100,1205
1733108981108,1214,HTTP Request,200,OK,Caso4 1-20,text,true,535,99,99,1214
1733108981108,1226,HTTP Request,200,OK,Caso4 1-18,text,true,549,99,99,1226
1733108981110,1250,HTTP Request,200,OK,Caso4 1-33,text,true,521,100,100,1250
1733108981258,1113,HTTP Request,200,OK,Caso4 1-47,text,true,535,100,100,1113
1733108981341,1188,HTTP Request,200,OK,Caso4 1-53,text,true,507,111,111,1188
1733108981105,1469,HTTP Request,200,OK,Caso4 1-31,text,true,535,114,114,1469
1733108981111,1470,HTTP Request,200,OK,Caso4 1-4,text,true,507,113,113,1469
1733108981108,1504,HTTP Request,200,OK,Caso4 1-12,text,true,535,115,115,1504
1733108981111,1523,HTTP Request,200,OK,Caso4 1-6,text,true,549,115,115,1523
1733108981484,1150,HTTP Request,200,OK,Caso4 1-65,text,true,521,115,115,1150
1733108981179,1457,HTTP Request,200,OK,Caso4 1-41,text,true,521,113,113,1457
1733108981804,832,HTTP Request,200,OK,Caso4 1-89,text,true,521,113,113,832
1733108981110,1539,HTTP Request,200,OK,Caso4 1-10,text,true,507,113,113,1539
1733108981154,1497,HTTP Request,200,OK,Caso4 1-39,text,true,507,112,112,1496
1733108981110,1542,HTTP Request,200,OK,Caso4 1-7,text,true,507,111,111,1542
1733108981303,1349,HTTP Request,200,OK,Caso4 1-50,text,true,521,110,110,1349
